scenario,policy,n,average_inventory_ci95_high,average_inventory_ci95_low,average_inventory_mean,average_inventory_sd,days_ci95_high,days_ci95_low,days_mean,days_sd,fill_rate_ci95_high,fill_rate_ci95_low,fill_rate_mean,fill_rate_sd,holding_cost_ci95_high,holding_cost_ci95_low,holding_cost_mean,holding_cost_sd,lost_sales_ci95_high,lost_sales_ci95_low,lost_sales_mean,lost_sales_sd,ordering_cost_ci95_high,ordering_cost_ci95_low,ordering_cost_mean,ordering_cost_sd,paired_oracle_regret_mean,post_shift_14_lost_sales_ci95_high,post_shift_14_lost_sales_ci95_low,post_shift_14_lost_sales_mean,post_shift_14_lost_sales_sd,post_shift_14_service_level_ci95_high,post_shift_14_service_level_ci95_low,post_shift_14_service_level_mean,post_shift_14_service_level_sd,post_shift_14_total_cost_ci95_high,post_shift_14_total_cost_ci95_low,post_shift_14_total_cost_mean,post_shift_14_total_cost_sd,post_shift_30_lost_sales_ci95_high,post_shift_30_lost_sales_ci95_low,post_shift_30_lost_sales_mean,post_shift_30_lost_sales_sd,post_shift_30_service_level_ci95_high,post_shift_30_service_level_ci95_low,post_shift_30_service_level_mean,post_shift_30_service_level_sd,post_shift_30_total_cost_ci95_high,post_shift_30_total_cost_ci95_low,post_shift_30_total_cost_mean,post_shift_30_total_cost_sd,post_shift_7_lost_sales_ci95_high,post_shift_7_lost_sales_ci95_low,post_shift_7_lost_sales_mean,post_shift_7_lost_sales_sd,post_shift_7_service_level_ci95_high,post_shift_7_service_level_ci95_low,post_shift_7_service_level_mean,post_shift_7_service_level_sd,post_shift_7_total_cost_ci95_high,post_shift_7_total_cost_ci95_low,post_shift_7_total_cost_mean,post_shift_7_total_cost_sd,pre_shift_lost_sales_ci95_high,pre_shift_lost_sales_ci95_low,pre_shift_lost_sales_mean,pre_shift_lost_sales_sd,pre_shift_service_level_ci95_high,pre_shift_service_level_ci95_low,pre_shift_service_level_mean,pre_shift_service_level_sd,pre_shift_total_cost_ci95_high,pre_shift_total_cost_ci95_low,pre_shift_total_cost_mean,pre_shift_total_cost_sd,purchase_cost_ci95_high,purchase_cost_ci95_low,purchase_cost_mean,purchase_cost_sd,service_level_ci95_high,service_level_ci95_low,service_level_mean,service_level_sd,stockout_cost_ci95_high,stockout_cost_ci95_low,stockout_cost_mean,stockout_cost_sd,stockout_rate_ci95_high,stockout_rate_ci95_low,stockout_rate_mean,stockout_rate_sd,total_cost_ci95_high,total_cost_ci95_low,total_cost_mean,total_cost_sd,total_demand_ci95_high,total_demand_ci95_low,total_demand_mean,total_demand_sd,total_sales_ci95_high,total_sales_ci95_low,total_sales_mean,total_sales_sd
demand_jump,exponential,10,13.079971228435513,11.692028771564486,12.386,1.1196580165720575,150.0,150.0,150.0,0.0,0.8351977892286849,0.8194131588465338,0.8273054740376093,0.012733516334564283,392.39913685306544,350.76086314693464,371.58000000000004,33.58974049716173,685.3906399922331,621.2093600077668,653.3,51.77526221833915,0.0,0.0,0.0,0.0,1842.2599999999998,96.68184063543956,67.31815936456044,82.0,23.687784005919827,0.8289708382914718,0.7612593812165604,0.7951151097540161,0.05462306837893927,852.7264062344103,681.3135937655896,767.02,138.27931314713868,172.13428168581598,137.86571831418402,155.0,27.644569488820444,0.8457755681964301,0.8045345656187151,0.8251550669075726,0.033269260493483284,1686.6630973919418,1504.8569026080581,1595.76,146.66369087890234,52.91465140364202,30.08534859635798,41.5,18.41647812874836,0.8360014833963573,0.7377248060301956,0.7868631447132765,0.07928013809963995,440.87749149178046,299.84250850821957,370.36,113.77341224263836,307.13659979585884,254.86340020414116,281.0,42.168972268982586,0.8321711724773658,0.8036112902393701,0.8178912313583679,0.023039356525064725,2965.723991772549,2658.6760082274504,2812.2,247.6966783072483,3181.1601853424168,3089.039814657583,3135.1,74.31382404670374,0.8351977892286849,0.8194131588465338,0.8273054740376093,0.012733516334564283,3426.9531999611654,3106.0468000388346,3266.5,258.87631109169575,0.3624778950023995,0.33218877166426714,0.3473333333333333,0.024434341346495043,6946.538953177171,6599.82104682283,6773.18,279.6985432767056,3831.5106699493986,3733.4893300506014,3782.5,79.07415647493322,3177.8044873282747,3080.595512671725,3129.2,78.4188186031332
demand_jump,fixed,10,22.35360409637255,7.834395903627447,15.094,11.712695844707028,150.0,150.0,150.0,0.0,0.8084964460282726,0.788103686524432,0.7983000662763523,0.016450910155148348,670.6081228911765,235.03187710882352,452.82000000000005,351.38087534121087,812.7761395164225,715.4238604835775,764.1,78.53442274286834,0.0,0.0,0.0,0.0,2342.4,126.11835096686046,46.88164903313954,86.5,63.920523568986304,0.8765419301872245,0.7118325854032442,0.7941872577952344,0.13287160240595705,927.1253163356382,568.9946836643617,748.06,288.90522936692497,296.2427377036107,214.3572622963893,255.3,66.05729836033764,0.7511446312353557,0.6787430918366611,0.7149438615360084,0.05840657413323783,2109.669268304134,1721.690731695866,1915.68,312.98363748498633,53.45691794736626,6.743082052633746,30.1,37.6842142017052,0.960256775642576,0.7585891885237094,0.8594229820831427,0.16268594528725827,424.48486835965537,216.23513164034466,320.36,167.99578830699562,82.02790078202419,26.572099217975808,54.3,44.73638837059206,0.9828447270505561,0.9488956921986104,0.9658702096245833,0.027386804718516757,2286.5947729763075,2053.925227023693,2170.26,187.69533351211012,3000.0,3000.0,3000.0,0.0,0.8084964460282726,0.788103686524432,0.7983000662763523,0.016450910155148348,4063.880697582112,3577.119302417888,3820.5,392.67211371434166,0.44994802279185664,0.3553853105414767,0.4026666666666667,0.07628406949854773,7415.382819117365,7131.257180882634,7273.32,229.20514246703388,3831.5106699493986,3733.4893300506014,3782.5,79.07415647493322,3019.7452956717557,3017.0547043282445,3018.4,2.1705094128132942
demand_jump,moving_average,10,11.527303042978994,10.355363623687671,10.941333333333333,0.9454076134427707,150.0,150.0,150.0,0.0,0.8470969918948382,0.8367414964734593,0.8419192441841488,0.008353814242602765,345.8190912893699,310.6609087106301,328.24,28.362228403283137,618.7871596494646,577.0128403505354,597.9,33.699488950955256,0.0,0.0,0.0,0.0,1576.52,92.44296910521659,64.1570308947834,78.3,22.81836492340715,0.8361978196483657,0.7726742598231693,0.8044360397357675,0.051244677073874596,833.1868996624389,665.8131003375611,749.5,135.021027169022,167.87273800415878,129.12726199584122,148.5,31.25611051369707,0.8534824075366956,0.8126357135906186,0.8330590605636571,0.03295117034627918,1671.2804391243224,1449.0395608756778,1560.16,179.28249093415553,56.505830817840305,31.49416918215969,44.0,20.176994600562075,0.8252087390657293,0.7284051936141366,0.776806966339933,0.07809175745068021,458.3439137467591,307.25608625324094,382.8,121.88307694033838,271.0701217663223,232.5298782336777,251.8,31.090548760390547,0.847088483183237,0.8263764489645788,0.8367324660739079,0.016708470180180096,2799.5439802560873,2554.976019743913,2677.26,197.2938260001508,3234.0911514906593,3145.3088485093404,3189.7,71.62099319799096,0.8470969918948382,0.8367414964734593,0.8419192441841488,0.008353814242602765,3093.935798247323,2885.064201752677,2989.5,168.4974447547763,0.34867777569661207,0.32732222430338787,0.33799999999999997,0.0172275977273905,6629.547000944726,6385.332999055273,6507.44,197.00828634574972,3831.5106699493986,3733.4893300506014,3782.5,79.07415647493322,3231.7199653650127,3137.480034634987,3184.6,76.02368052126916
demand_jump,oracle,10,32.93223120234851,31.435768797651484,32.184,1.20720143664675,150.0,150.0,150.0,0.0,0.9946248183234115,0.9868857719779603,0.9907552951506859,0.006243115655415351,987.9669360704555,943.0730639295447,965.5200000000001,36.21604309940249,50.30122193541431,20.298778064585683,35.3,24.203076021218642,0.0,0.0,0.0,0.0,0.0,16.166360349528063,-1.3663603495280618,7.4,14.143706884846152,1.0025773820398227,0.9651394312275586,0.9838584066336906,0.03020132538165952,623.4395730166297,518.6804269833702,571.06,84.509568163085,22.055593425957554,2.344406574042445,12.2,15.901083121738735,0.9972801728998224,0.9766970511165542,0.9869886120081883,0.016604476069324994,1260.6854836450457,1138.1945163549544,1199.44,98.81389016170189,11.298666666666666,-1.8986666666666663,4.7,10.646334789233544,1.0059284906773172,0.951167138463213,0.9785478145702651,0.04417617366001879,335.274416415735,256.845583584265,296.06,63.26881274898926,26.272834346100083,8.527165653899914,17.4,14.315492772983168,0.9945565861117585,0.983303966274967,0.9889302761933627,0.009077527634758486,2063.9468285664366,1955.9331714335638,2009.94,87.13499360825766,3826.25381554808,3751.54618445192,3788.9,60.26690634170631,0.9946248183234115,0.9868857719779603,0.9907552951506859,0.006243115655415351,251.50610967707155,101.49389032292844,176.5,121.01538010609322,0.04546409714010733,0.02520256952655934,0.035333333333333335,0.016345044931940705,5015.549910032486,4846.290089967514,4930.92,136.54248667234185,3831.5106699493986,3733.4893300506014,3782.5,79.07415647493322,3786.013499049228,3708.3865009507717,3747.2,62.62196987568429
demand_jump,random,10,41.810659705680436,16.613340294319563,29.212,20.32676537517182,150.0,150.0,150.0,0.0,0.8266410351782902,0.7601645577577429,0.7934027964680166,0.05362680598818489,1254.319791170413,498.400208829587,876.36,609.8029612551546,906.3706120273218,656.2293879726781,781.3,201.78979712121776,0.0,0.0,0.0,0.0,2842.3399999999997,121.21759803483461,39.5824019651654,80.4,65.85539714657664,0.9038663207305405,0.6886833691552009,0.7962748449428707,0.1735888368917834,912.3088763900287,656.1711236099713,784.24,206.62721774033332,286.77617622125007,178.02382377874991,232.4,87.73090168869297,0.7994400360318156,0.6790598756246528,0.7392499558282342,0.097111094893637,2066.6104604500924,1698.1095395499074,1882.36,297.27097701891074,51.03337505877964,11.366624941220362,31.2,31.99930554802019,0.9448881540927001,0.7269617550680847,0.8359249545803924,0.1758019855093064,420.08706035950974,293.2329396404903,356.66,102.33366123725966,146.73536444467965,50.06463555532037,98.4,77.9846138670956,0.9675060628744746,0.903654557221694,0.9355803100480843,0.05150923211579155,2872.742370570162,2440.177629429838,2656.46,348.9514840521849,3119.753466501675,2861.046533498325,2990.4,208.6997843793807,0.8266410351782902,0.7601645577577429,0.7934027964680166,0.05362680598818489,4531.853060136609,3281.1469398633903,3906.5,1008.9489856060887,0.38987525496078257,0.28079141170588406,0.3353333333333333,0.0879983164822129,8120.205153282738,7426.314846717262,7773.26,559.7637283314771,3831.5106699493986,3733.4893300506014,3782.5,79.07415647493322,3133.4304702891463,2868.9695297108533,3001.2,213.3415623412893
gradual_demand,exponential,10,13.053505867799473,11.67582746553386,12.364666666666666,1.1113779679543412,150.0,150.0,150.0,0.0,0.836264398239294,0.8211073166629849,0.8286858574511394,0.012227270526049,391.60517603398426,350.27482396601584,370.94000000000005,33.341339038630245,682.1322329629479,620.0677670370521,651.1,50.06762094075039,0.0,0.0,0.0,0.0,1839.04,66.1840857120468,40.21591428795321,53.2,20.94861438005971,0.8629570238546511,0.7986636744019915,0.8308103491283213,0.05186566904886331,628.1073847357179,478.65261526428213,553.38,120.56568334314703,146.38610436064437,122.81389563935564,134.6,19.01578291840754,0.8340989914991485,0.795081200738074,0.8145900961186112,0.03147578777369132,1420.6593393856651,1286.6606606143346,1353.6599999999999,108.0972011149636,33.456733089748965,11.543266910251031,22.5,17.67766952966369,0.9166017012211702,0.7803096029402732,0.8484556520807217,0.10994731062529432,306.1843075638429,185.4556924361571,245.82,97.39219453095589,255.1234340784197,214.27656592158027,234.7,32.95131088270828,0.8256020237562239,0.7970058575474289,0.8113039406518264,0.023068626930748532,2414.150665505608,2178.289334494392,2296.22,190.27015764141495,3199.116850258302,3108.4831497416985,3153.8,73.11452204133823,0.836264398239294,0.8211073166629849,0.8286858574511394,0.012227270526049,3410.661164814739,3100.338835185261,3255.5,250.33810470375192,0.3630578223559007,0.327608844310766,0.3453333333333333,0.028596814119369617,6946.018935537071,6614.461064462928,6780.24,267.46888998743594,3844.4852359028628,3755.5147640971372,3800.0,71.7727896443585,3193.042760503721,3104.757239496279,3148.9,71.22023744851053
gradual_demand,fixed,10,20.577067951759215,6.901598714907451,13.739333333333333,11.032048688779655,150.0,150.0,150.0,0.0,0.8041367082118127,0.7854287619671627,0.7947827350894877,0.01509176542782844,617.3120385527765,207.0479614472235,412.18,330.9614606633897,825.1370311440297,736.4629688559702,780.8,71.53367505354849,0.0,0.0,0.0,0.0,2374.98,28.558166804775617,7.84183319522438,18.2,16.711938513795726,0.9753935485324989,0.911677323274042,0.9435354359032705,0.051400100950274155,489.20544390415887,391.4345560958411,440.32,78.87211590078375,146.35668134769318,64.04331865230682,105.2,66.40247652677488,0.9099359340265265,0.8119867572545909,0.8609613456405587,0.07901594222902428,1395.041195965244,1048.518804034756,1221.78,279.5408211096667,1.4366749003578922,-0.23667490035789218,0.6,1.3498971154211057,1.0016901590358271,0.9898774614092695,0.9957838102225482,0.009529344339486504,209.3640169206638,157.67598307933622,183.52,41.69691701899421,74.30791653429533,23.89208346570467,49.1,40.67062822234247,0.9810746058210307,0.9425486594471626,0.9618116326340966,0.031079015192583763,1829.9940429644284,1661.4059570355716,1745.7,136.00059640392104,3000.0,3000.0,3000.0,0.0,0.8041367082118127,0.7854287619671627,0.7947827350894877,0.01509176542782844,4125.685155720149,3682.314844279851,3904.0,357.6683752677425,0.4693544219190435,0.3706455780809565,0.42,0.07962876829852852,7424.0102858628425,7208.349714137158,7316.18,173.97413473144672,3844.4852359028628,3755.5147640971372,3800.0,71.7727896443585,3020.285398851421,3018.1146011485785,3019.2,1.7511900715418263
gradual_demand,moving_average,10,11.41226378351084,10.349069549822493,10.880666666666666,0.8576824932684932,150.0,150.0,150.0,0.0,0.8475952760888437,0.8370162520847293,0.8423057640867865,0.008534135529233607,342.3679135053252,310.47208649467484,326.42,25.730474798054804,620.3316725320076,578.0683274679925,599.2,34.093987739776054,0.0,0.0,0.0,0.0,1592.62,62.59543973492761,37.804560265072396,50.2,19.998888858022976,0.8717172666115233,0.8081233233165269,0.8399202949640251,0.0513014556642301,608.7851251445292,467.01487485547085,537.9,114.3665549401961,134.37484750937114,114.62515249062886,124.5,15.932147794109033,0.8452861218928651,0.8117623412011741,0.8285242315470196,0.027043750705540524,1363.0275484017102,1242.77245159829,1302.9,97.01020564868423,29.20480430851991,9.795195691480089,19.5,15.65779890874406,0.9298442376852314,0.8088090944040125,0.8693266660446219,0.09763947186058095,285.7867045459499,179.37329545405018,232.58,85.8440679371615,225.15827093275362,195.4417290672464,210.3,23.972437877232633,0.8413170070699577,0.8203472114449463,0.830832109257452,0.016916407204915905,2280.395697652936,2088.8443023470636,2184.62,154.52517809944973,3255.2894142438317,3167.5105857561684,3211.4,70.81148682711489,0.8475952760888437,0.8370162520847293,0.8423057640867865,0.008534135529233607,3101.6583626600373,2890.3416373399627,2996.0,170.46993869888027,0.35019696006726125,0.3231363732660721,0.33666666666666667,0.021829869671542775,6652.558108528793,6415.081891471206,6533.82,191.57289184247566,3844.4852359028628,3755.5147640971372,3800.0,71.7727896443585,3244.7929654174645,3156.807034582536,3200.8,70.97855701235096
gradual_demand,oracle,10,32.50262679739452,30.93737320260548,31.72,1.2626955294131674,150.0,150.0,150.0,0.0,0.9940595039872233,0.9865726984488596,0.9903161012180415,0.006039632117345074,975.0788039218355,928.1211960781645,951.6,37.880865882395035,51.34955609069493,22.650443909305068,37.0,23.15167380558045,0.0,0.0,0.0,0.0,0.0,7.580744939188108,-1.1807449391881075,3.2,7.067924416372572,1.00369375400923,0.9773382052937835,0.9905159796515067,0.021261112990902116,442.5259516953817,394.39404830461837,418.46000000000004,38.828174192345315,13.79599652560534,1.0040034743946622,7.4,10.319345371140987,0.9985902265003324,0.982660550409989,0.9906253884551607,0.012850525212809015,1032.7002291449237,947.4997708550765,990.1,68.73150660359482,0.592,-0.19199999999999995,0.2,0.6324555320336759,1.0012715231788079,0.9960794701986755,0.9986754966887417,0.0041884472320110845,199.07575514434458,184.40424485565543,191.74,11.8355584762378,24.8885382018388,7.711461798161201,16.3,13.85680739243752,0.9939161752664379,0.9804836989059552,0.9871999370861966,0.010836025488646603,1673.7929011434057,1569.8470988565941,1621.82,83.85344092853647,3843.697728811559,3765.502271188441,3804.6,63.08054815516076,0.9940595039872233,0.9865726984488596,0.9903161012180415,0.006039632117345074,256.74778045347466,113.25221954652535,185.0,115.75836902790225,0.04360888888888889,0.027057777777777778,0.035333333333333335,0.013351839009599825,5018.063504651933,4864.336495348067,4941.2,124.01211410360037,3844.4852359028628,3755.5147640971372,3800.0,71.7727896443585,3801.8192172340796,3724.1807827659204,3763.0,62.63119563497624
gradual_demand,random,10,39.30875725714283,15.681909409523834,27.49533333333333,19.059860492021148,150.0,150.0,150.0,0.0,0.8221681074468848,0.7565621461959421,0.7893651268214135,0.052924557560645,1179.262717714285,470.4572822857151,824.86,571.7958147606345,923.9313294090601,676.46867059094,800.2,199.6289892108191,0.0,0.0,0.0,0.0,2875.06,65.0579527670989,5.542047232901105,35.3,48.011688391705434,0.9812681118789265,0.8024245144151833,0.8918463131470549,0.14427375329687284,711.9438142451922,506.33618575480773,609.14,165.86439039166905,174.7230214150592,48.876978584940794,111.8,101.52044129139708,0.933695994628297,0.7597860165780075,0.8467410056031522,0.14029378532367437,1585.7939166414208,1219.1660833585793,1402.48,295.75995071078245,34.209168784079566,-4.609168784079568,14.8,31.31488818792464,1.0281483996957559,0.764035646751821,0.8960920232237884,0.2130606781633101,379.5031852815438,226.4968147184562,303.0,123.43077232017775,115.57970143918288,37.82029856081712,76.7,62.72878127303287,0.9691248459918976,0.907432397385379,0.9382786216886383,0.04976751327282659,2226.736862470726,1903.223137529274,2064.98,260.97964927046195,3119.753466501675,2861.046533498325,2990.4,208.6997843793807,0.8221681074468848,0.7565621461959421,0.7893651268214135,0.052924557560645,4619.6566470453,3382.3433529546996,4001.0,998.1449460540956,0.396756081090406,0.28324391890959405,0.34,0.09157065679127341,8153.336492536213,7479.1835074637875,7816.26,543.841562303663,3844.4852359028628,3755.5147640971372,3800.0,71.7727896443585,3130.4424257514465,2869.157574248554,2999.8,210.77940021632938
